,epoch-10
adjunct_island,0.672
anaphor_gender_agreement,0.69
anaphor_number_agreement,0.648
animate_subject_passive,0.441
animate_subject_trans,0.6627450980392157
causative,0.6807851239669421
complex_NP_island,0.538
coordinate_structure_constraint_complex_left_branch,0.125
coordinate_structure_constraint_object_extraction,0.4230769230769231
determiner_noun_agreement_1,0.526
determiner_noun_agreement_irregular_1,0.518
determiner_noun_agreement_with_adj_irregular_1,0.524
determiner_noun_agreement_with_adjective_1,0.518
distractor_agreement_relational_noun,0.41867954911433175
distractor_agreement_relative_clause,0.3800578034682081
drop_argument,0.542997542997543
ellipsis_n_bar_1,0.333
ellipsis_n_bar_2,0.8063200815494393
existential_there_object_raising,0.7033985581874357
existential_there_quantifiers_1,0.574585635359116
existential_there_quantifiers_2,0.069
existential_there_subject_raising,0.5223068552774756
expletive_it_object_raising,0.6487523992322457
inchoative,0.7101631116687579
intransitive,0.717391304347826
irregular_past_participle_adjectives,0.674
irregular_past_participle_verbs,0.75
irregular_plural_subject_verb_agreement_1,0.5720720720720721
irregular_plural_subject_verb_agreement_2,0.585
left_branch_island_echo_question,0.515
left_branch_island_simple_question,0.21
npi_present_1,0.711
npi_present_2,0.71
only_npi_licensor_present,0.839
only_npi_scope,0.602
passive_1,0.2992213570634038
passive_2,0.40707964601769914
principle_A_c_command,0.521
principle_A_case_1,0.984
principle_A_case_2,0.5909547738693467
principle_A_domain_1,0.876
principle_A_domain_2,0.551
principle_A_domain_3,0.499
principle_A_reconstruction,0.2150753768844221
regular_plural_subject_verb_agreement_1,0.7192982456140351
regular_plural_subject_verb_agreement_2,0.57
sentential_negation_npi_licensor_present,0.645
sentential_negation_npi_scope,0.255
sentential_subject_island,0.595
tough_vs_raising_1,0.5305216426193119
tough_vs_raising_2,0.5114678899082569
transitive,0.5151515151515151
wh_island,0.341
wh_questions_object_gap,0.453781512605042
wh_questions_subject_gap,0.7107438016528925
wh_questions_subject_gap_long_distance,0.91
wh_vs_that_no_gap,0.6861313868613139
wh_vs_that_no_gap_long_distance,0.793
wh_vs_that_with_gap,0.21739130434782608
wh_vs_that_with_gap_long_distance,0.226
