,epoch-1
adjunct_island,0.801
anaphor_gender_agreement,0.59
anaphor_number_agreement,0.843
animate_subject_passive,0.676
animate_subject_trans,0.7019607843137254
causative,0.6487603305785123
complex_NP_island,0.5
coordinate_structure_constraint_complex_left_branch,0.259
coordinate_structure_constraint_object_extraction,0.7564102564102564
determiner_noun_agreement_1,0.88
determiner_noun_agreement_irregular_1,0.748
determiner_noun_agreement_with_adj_irregular_1,0.687
determiner_noun_agreement_with_adjective_1,0.807
distractor_agreement_relational_noun,0.46215780998389694
distractor_agreement_relative_clause,0.3699421965317919
drop_argument,0.6584766584766585
ellipsis_n_bar_1,0.609
ellipsis_n_bar_2,0.7135575942915392
existential_there_object_raising,0.7631307929969104
existential_there_quantifiers_1,0.988950276243094
existential_there_quantifiers_2,0.104
existential_there_subject_raising,0.6648531011969532
expletive_it_object_raising,0.7543186180422264
inchoative,0.6311166875784191
intransitive,0.6403162055335968
irregular_past_participle_adjectives,0.995
irregular_past_participle_verbs,0.906
irregular_plural_subject_verb_agreement_1,0.6036036036036037
irregular_plural_subject_verb_agreement_2,0.822
left_branch_island_echo_question,0.757
left_branch_island_simple_question,0.314
npi_present_1,0.377
npi_present_2,0.397
only_npi_licensor_present,0.412
only_npi_scope,0.447
passive_1,0.7764182424916574
passive_2,0.7621681415929203
principle_A_c_command,0.465
principle_A_case_1,1.0
principle_A_case_2,0.7266331658291457
principle_A_domain_1,0.994
principle_A_domain_2,0.714
principle_A_domain_3,0.486
principle_A_reconstruction,0.3236180904522613
regular_plural_subject_verb_agreement_1,0.7462887989203779
regular_plural_subject_verb_agreement_2,0.714
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.28
sentential_subject_island,0.384
tough_vs_raising_1,0.38290788013318533
tough_vs_raising_2,0.6261467889908257
transitive,0.6790633608815427
wh_island,0.775
wh_questions_object_gap,0.4369747899159664
wh_questions_subject_gap,0.71900826446281
wh_questions_subject_gap_long_distance,0.943
wh_vs_that_no_gap,0.7737226277372263
wh_vs_that_no_gap_long_distance,0.957
wh_vs_that_with_gap,0.2826086956521739
wh_vs_that_with_gap_long_distance,0.074
