,epoch-8
animate_subject_passive,0.442
animate_subject_trans,0.7490196078431373
causative,0.7138429752066116
complex_NP_island,0.521
coordinate_structure_constraint_complex_left_branch,0.47
coordinate_structure_constraint_object_extraction,0.38461538461538464
determiner_noun_agreement_1,0.504
determiner_noun_agreement_with_adj_irregular_1,0.469
tough_vs_raising_1,0.6359600443951166
distractor_agreement_relational_noun,0.4557165861513688
distractor_agreement_relative_clause,0.4060693641618497
drop_argument,0.6142506142506142
ellipsis_n_bar_1,0.725
ellipsis_n_bar_2,0.7706422018348624
existential_there_object_raising,0.670442842430484
existential_there_quantifiers_1,0.8784530386740331
existential_there_quantifiers_2,0.688
existential_there_subject_raising,0.5429815016322089
expletive_it_object_raising,0.7197696737044146
inchoative,0.7151819322459222
intransitive,0.7727272727272727
irregular_past_participle_adjectives,0.44
irregular_past_participle_verbs,0.711
irregular_plural_subject_verb_agreement_1,0.5735735735735735
irregular_plural_subject_verb_agreement_2,0.603
left_branch_island_echo_question,0.559
left_branch_island_simple_question,0.363
npi_present_1,0.417
npi_present_2,0.412
only_npi_licensor_present,0.671
only_npi_scope,0.234
passive_1,0.5539488320355951
passive_2,0.38163716814159293
principle_A_c_command,0.33
principle_A_case_1,0.891
principle_A_case_2,0.8110552763819096
principle_A_domain_1,0.97
principle_A_domain_2,0.841
principle_A_domain_3,0.53
principle_A_reconstruction,0.1658291457286432
regular_plural_subject_verb_agreement_1,0.7139001349527665
regular_plural_subject_verb_agreement_2,0.566
sentential_negation_npi_licensor_present,0.771
sentential_negation_npi_scope,0.508
sentential_subject_island,0.33
tough_vs_raising_2,0.44380733944954126
transitive,0.5371900826446281
wh_island,0.426
wh_questions_object_gap,0.226890756302521
wh_questions_subject_gap,0.2231404958677686
wh_questions_subject_gap_long_distance,0.158
wh_vs_that_no_gap,0.0948905109489051
wh_vs_that_no_gap_long_distance,0.093
wh_vs_that_with_gap,0.9130434782608695
wh_vs_that_with_gap_long_distance,0.914
adjunct_island,0.663
anaphor_gender_agreement,0.604
anaphor_number_agreement,0.845
determiner_noun_agreement_irregular_1,0.492
determiner_noun_agreement_with_adjective_1,0.503
