,epoch-6
animate_subject_passive,0.485
animate_subject_trans,0.7568627450980392
causative,0.6539256198347108
complex_NP_island,0.497
coordinate_structure_constraint_complex_left_branch,0.414
coordinate_structure_constraint_object_extraction,0.3717948717948718
determiner_noun_agreement_1,0.501
determiner_noun_agreement_with_adj_irregular_1,0.457
tough_vs_raising_1,0.5749167591564928
distractor_agreement_relational_noun,0.43800322061191627
distractor_agreement_relative_clause,0.40028901734104044
drop_argument,0.6240786240786241
ellipsis_n_bar_1,0.62
ellipsis_n_bar_2,0.6972477064220184
existential_there_object_raising,0.6014418125643667
existential_there_quantifiers_1,0.7734806629834254
existential_there_quantifiers_2,0.448
existential_there_subject_raising,0.6147986942328618
expletive_it_object_raising,0.5969289827255279
inchoative,0.7214554579673776
intransitive,0.7569169960474308
irregular_past_participle_adjectives,0.391
irregular_past_participle_verbs,0.798
irregular_plural_subject_verb_agreement_1,0.581081081081081
irregular_plural_subject_verb_agreement_2,0.63
left_branch_island_echo_question,0.532
left_branch_island_simple_question,0.381
npi_present_1,0.432
npi_present_2,0.408
only_npi_licensor_present,0.584
only_npi_scope,0.322
passive_1,0.42491657397107896
passive_2,0.41261061946902655
principle_A_c_command,0.44
principle_A_case_1,0.817
principle_A_case_2,0.6391959798994975
principle_A_domain_1,0.934
principle_A_domain_2,0.78
principle_A_domain_3,0.521
principle_A_reconstruction,0.2914572864321608
regular_plural_subject_verb_agreement_1,0.7543859649122807
regular_plural_subject_verb_agreement_2,0.586
sentential_negation_npi_licensor_present,0.745
sentential_negation_npi_scope,0.462
sentential_subject_island,0.394
tough_vs_raising_2,0.44380733944954126
transitive,0.5165289256198347
wh_island,0.371
wh_questions_object_gap,0.18487394957983194
wh_questions_subject_gap,0.24793388429752067
wh_questions_subject_gap_long_distance,0.33
wh_vs_that_no_gap,0.16058394160583941
wh_vs_that_no_gap_long_distance,0.171
wh_vs_that_with_gap,0.8804347826086957
wh_vs_that_with_gap_long_distance,0.831
adjunct_island,0.713
anaphor_gender_agreement,0.64
anaphor_number_agreement,0.819
determiner_noun_agreement_irregular_1,0.501
determiner_noun_agreement_with_adjective_1,0.485
