,epoch-1
animate_subject_passive,0.702
animate_subject_trans,0.8
causative,0.6694214876033058
complex_NP_island,0.457
coordinate_structure_constraint_complex_left_branch,0.266
coordinate_structure_constraint_object_extraction,0.5705128205128205
determiner_noun_agreement_1,0.917
determiner_noun_agreement_with_adj_irregular_1,0.706
tough_vs_raising_1,0.42730299667036625
distractor_agreement_relational_noun,0.4975845410628019
distractor_agreement_relative_clause,0.3829479768786127
drop_argument,0.6511056511056511
ellipsis_n_bar_1,0.585
ellipsis_n_bar_2,0.7339449541284404
existential_there_object_raising,0.7600411946446962
existential_there_quantifiers_1,0.6685082872928176
existential_there_quantifiers_2,0.571
existential_there_subject_raising,0.6441784548422198
expletive_it_object_raising,0.7063339731285988
inchoative,0.6624843161856964
intransitive,0.6798418972332015
irregular_past_participle_adjectives,0.735
irregular_past_participle_verbs,0.867
irregular_plural_subject_verb_agreement_1,0.581081081081081
irregular_plural_subject_verb_agreement_2,0.595
left_branch_island_echo_question,0.767
left_branch_island_simple_question,0.334
npi_present_1,0.387
npi_present_2,0.383
only_npi_licensor_present,0.222
only_npi_scope,0.439
passive_1,0.67853170189099
passive_2,0.661504424778761
principle_A_c_command,0.557
principle_A_case_1,1.0
principle_A_case_2,0.8331658291457287
principle_A_domain_1,0.982
principle_A_domain_2,0.656
principle_A_domain_3,0.505
principle_A_reconstruction,0.21306532663316582
regular_plural_subject_verb_agreement_1,0.747638326585695
regular_plural_subject_verb_agreement_2,0.664
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.323
sentential_subject_island,0.538
tough_vs_raising_2,0.6123853211009175
transitive,0.6460055096418733
wh_island,0.719
wh_questions_object_gap,0.46218487394957986
wh_questions_subject_gap,0.8429752066115702
wh_questions_subject_gap_long_distance,0.946
wh_vs_that_no_gap,0.9051094890510949
wh_vs_that_no_gap_long_distance,0.993
wh_vs_that_with_gap,0.15217391304347827
wh_vs_that_with_gap_long_distance,0.021
adjunct_island,0.634
anaphor_gender_agreement,0.475
anaphor_number_agreement,0.684
determiner_noun_agreement_irregular_1,0.774
determiner_noun_agreement_with_adjective_1,0.834
