,epoch-8
adjunct_island,0.71
anaphor_gender_agreement,0.879
anaphor_number_agreement,0.946
animate_subject_passive,0.556
animate_subject_trans,0.8470588235294118
causative,0.6849173553719008
complex_NP_island,0.516
coordinate_structure_constraint_complex_left_branch,0.535
coordinate_structure_constraint_object_extraction,0.5769230769230769
determiner_noun_agreement_1,0.507
determiner_noun_agreement_irregular_1,0.496
determiner_noun_agreement_with_adj_irregular_1,0.531
determiner_noun_agreement_with_adjective_1,0.482
distractor_agreement_relational_noun,0.463768115942029
distractor_agreement_relative_clause,0.4046242774566474
drop_argument,0.5945945945945946
ellipsis_n_bar_1,0.566
ellipsis_n_bar_2,0.81855249745158
existential_there_object_raising,0.6910401647785788
existential_there_quantifiers_1,0.9613259668508287
existential_there_quantifiers_2,0.187
existential_there_subject_raising,0.6289445048966268
expletive_it_object_raising,0.7044145873320538
inchoative,0.7076537013801757
intransitive,0.7213438735177866
irregular_past_participle_adjectives,0.817
irregular_past_participle_verbs,0.868
irregular_plural_subject_verb_agreement_1,0.5690690690690691
irregular_plural_subject_verb_agreement_2,0.66
left_branch_island_echo_question,0.703
left_branch_island_simple_question,0.448
npi_present_1,0.378
npi_present_2,0.471
only_npi_licensor_present,0.744
only_npi_scope,0.553
passive_1,0.41490545050055616
passive_2,0.43473451327433627
principle_A_c_command,0.387
principle_A_case_1,1.0
principle_A_case_2,0.8703517587939699
principle_A_domain_1,0.994
principle_A_domain_2,0.754
principle_A_domain_3,0.663
principle_A_reconstruction,0.15477386934673368
regular_plural_subject_verb_agreement_1,0.8218623481781376
regular_plural_subject_verb_agreement_2,0.552
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.268
sentential_subject_island,0.304
tough_vs_raising_1,0.4972253052164262
tough_vs_raising_2,0.5745412844036697
transitive,0.5743801652892562
wh_island,0.279
wh_questions_object_gap,0.5714285714285714
wh_questions_subject_gap,0.8925619834710744
wh_questions_subject_gap_long_distance,0.953
wh_vs_that_no_gap,0.9781021897810219
wh_vs_that_no_gap_long_distance,0.996
wh_vs_that_with_gap,0.29347826086956524
wh_vs_that_with_gap_long_distance,0.031
