,epoch-10
animate_subject_passive,0.437
animate_subject_trans,0.7607843137254902
causative,0.7014462809917356
complex_NP_island,0.568
coordinate_structure_constraint_complex_left_branch,0.271
coordinate_structure_constraint_object_extraction,0.6410256410256411
determiner_noun_agreement_1,0.702
determiner_noun_agreement_with_adj_irregular_1,0.466
tough_vs_raising_1,0.4772475027746948
distractor_agreement_relational_noun,0.4718196457326892
distractor_agreement_relative_clause,0.42196531791907516
drop_argument,0.6265356265356266
ellipsis_n_bar_1,0.661
ellipsis_n_bar_2,0.7716615698267074
existential_there_object_raising,0.6683831101956745
existential_there_subject_raising,0.5941240478781284
expletive_it_object_raising,0.6928982725527831
inchoative,0.7327478042659975
intransitive,0.7608695652173914
irregular_past_participle_adjectives,0.425
irregular_past_participle_verbs,0.763
irregular_plural_subject_verb_agreement_1,0.5435435435435435
irregular_plural_subject_verb_agreement_2,0.613
left_branch_island_echo_question,0.617
left_branch_island_simple_question,0.306
npi_present_1,0.566
npi_present_2,0.531
only_npi_licensor_present,0.626
only_npi_scope,0.328
passive_1,0.5517241379310345
passive_2,0.4004424778761062
principle_A_c_command,0.363
principle_A_case_1,0.991
principle_A_case_2,0.8060301507537688
principle_A_domain_1,0.961
principle_A_domain_2,0.833
principle_A_domain_3,0.536
principle_A_reconstruction,0.23417085427135678
regular_plural_subject_verb_agreement_1,0.7354925775978407
regular_plural_subject_verb_agreement_2,0.596
sentential_negation_npi_licensor_present,0.948
sentential_negation_npi_scope,0.331
sentential_subject_island,0.324
tough_vs_raising_2,0.5791284403669725
transitive,0.5757575757575758
wh_island,0.379
wh_questions_object_gap,0.20168067226890757
wh_questions_subject_gap,0.5371900826446281
wh_questions_subject_gap_long_distance,0.578
wh_vs_that_no_gap,0.38686131386861317
wh_vs_that_no_gap_long_distance,0.728
wh_vs_that_with_gap,0.8260869565217391
wh_vs_that_with_gap_long_distance,0.405
adjunct_island,0.571
anaphor_gender_agreement,0.653
anaphor_number_agreement,0.81
determiner_noun_agreement_irregular_1,0.639
determiner_noun_agreement_with_adjective_1,0.51
